"RERO13S47","RERO19S47","RERO25S47","RERO12S47","RERO18S47","RERO24S47","RERO14S47","RERO20S47","RERO26S47","wustlid","xgrouprr","RERO6S47","PARTYID1S46","RERO9S47","RERO15S47","RERO21S47","RERO10S47","RERO16S47","RERO22S47","ppgender","ppethm","ppeducat","PARTYID2S46","PARTYID3S46","IDEOL1S46","POLKNOW1S30","POLKNOW2S30","POLKNOW3S30","POLKNOW5S30","POLKNOW6S30","POLKNOW7S30","POLKNOW12S30","POLKNOW13S30","POLKNOW17S30","POLKNOW18S30","POLKNOW21S30","POLKNOW22S30","POLKNOW23S30","POLKNOW24S30","POLKNOW25S30","ATTS7S27","IDEFS48","RERO7S47","ppagect4","oct2015wt1","income6","treatment","treatment2","pid3","pot.handling.binary","tax.handling.binary","defense.handling.binary","pot.handling","tax.handling","defense.handling","pot.candidate.binary","tax.candidate.binary","defense.candidate.binary","pot.candidate","tax.candidate","defense.candidate","pot.rol","tax.rol","defense.rol","pot.rol.binary","tax.rol.binary","defense.rol.binary","pot.leadership","tax.leadership","defense.leadership","pot.leadership.binary","tax.leadership.binary","defense.leadership.binary","pot.gtd","tax.gtd","defense.gtd","pot.gtd.binary","tax.gtd.binary","defense.gtd.binary","female","other","black","hispanic","college","age","pid7","pid7.rev","ideology7","ideology7.rev","correct1","correct2","correct3","correct5","correct6","correct7","correct8","correct9","correct10","correct11","correct12","correct13","correct14","correct15","correct16","sum.correct","pot.attitudes","defense.attitudes","tax.attitudes"
"not too well","quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well",1335068,"5","Neither Agree nor Disagree",,"neither approve nor disapprove","disapprove","disapprove","somewhat unlikely","somewhat unlikely","somewhat unlikely",2,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,"Disagree","Agree","30-44",1.31,"$100,000 or more","bilateral",0,,,0,0,3,2,2,0,0,0,2,2,2,2,3,3,0,1,1,3,3,3,1,1,1,3,3,3,1,1,1,1,0,0,0,1,"30-44",,,,,,,,,,,,,,,,,,,,,,-1,-1
"not too well","quite well","quite well","not too well","quite well","quite well","not too well","quite well","quite well",1335069,"5","Strongly Disagree","Republican","disapprove","approve","approve","somewhat unlikely","somewhat likely","very likely",2,"White, Non-Hispanic","Some college","Strong",,"Conservative",,,,,,,,,,,,,,,,,"Agree","Agree","30-44",1.72,"$50,000-$79,999","bilateral",0,"gop",0,1,1,2,4,4,0,1,1,2,3,4,2,3,3,0,1,1,2,3,3,0,1,1,2,3,3,0,1,1,1,0,0,0,0,"30-44",-3,3,-2,2,,,,,,,,,,,,,,,,,,1,-1
,,,,,,,,,1335070,,,,,,,,,,2,"White, Non-Hispanic","High school",,,,,,,,,,,,,,,,,,,,,,"60+",,"$50,000-$79,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,"60+",,,,,,,,,,,,,,,,,,,,,,,
"not too well","not too well","quite well","quite well","quite well","quite well","not too well","not too well","quite well",1335071,"5","Strongly Disagree","Republican","disapprove","disapprove","approve","somewhat unlikely","somewhat unlikely","somewhat likely",1,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Slightly conservative",,,,,,,,,,,,,,,,,"Agree","Strongly agree","60+",0.08,"$30,000-$49,999","bilateral",0,"gop",0,0,1,2,2,4,0,0,1,2,2,3,2,2,3,0,0,1,3,3,3,1,1,1,2,2,3,0,0,1,0,0,0,0,1,"60+",-3,3,-1,1,,,,,,,,,,,,,,,,,,1,-2
"not too well","not too well","quite well","quite well","not too well","quite well","quite well","not too well","quite well",1335072,"1","Disagree","Republican","strongly approve","neither approve nor disapprove","approve","very likely","somewhat likely","somewhat likely",1,"White, Non-Hispanic","Some college","Strong",,"Conservative",,,,,,,,,,,,,,,,,"Strongly Disagree","Neither Agree nor Disagree","45-59",1.98,"$100,000 or more","control",,"gop",1,,1,5,3,4,1,1,1,4,3,3,2,2,3,0,0,1,3,2,3,1,0,1,3,2,3,1,0,1,0,0,0,0,0,"45-59",-3,3,-2,2,,,,,,,,,,,,,,,,,,-2,0
"quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well",1335073,"2","Disagree","Republican","approve","neither approve nor disapprove","approve","somewhat likely","somewhat likely","somewhat likely",2,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Very conservative",,,,,,,,,,,,,,,,,"Neither Agree nor Disagree","Disagree","45-59",0.6,"$100,000 or more","control",,"gop",1,,1,4,3,4,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,1,1,1,3,3,3,1,1,1,1,0,0,0,1,"45-59",-3,3,-3,3,,,,,,,,,,,,,,,,,,0,1
"quite well","quite well","not too well","quite well","quite well","not too well","quite well","quite well","not too well",1335074,"5","Neither Agree nor Disagree","Democrat","approve","approve","disapprove","somewhat likely","somewhat likely","very unlikely",1,"Other, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Slightly liberal",,,,,,,,,,,,,,,,,,"Neither Agree nor Disagree","18-29",4.03,"$100,000 or more","bilateral",0,"dem",1,1,0,4,4,2,1,1,0,3,3,1,3,3,2,1,1,0,3,3,2,1,1,0,3,3,2,1,1,0,0,1,0,0,1,"18-29",2,-2,1,-1,,,,,,,,,,,,,,,,,,,0
"quite well","not too well","not well at all","quite well","quite well","quite well","quite well","not too well","not too well",1335075,"3","Disagree","Other, please specify:","neither approve nor disapprove","disapprove","disapprove","somewhat unlikely","very unlikely","somewhat unlikely",2,"White, Non-Hispanic","High school",,,"Liberal",,,,,,,,,,,,,,,,,"Neither Agree nor Disagree","Agree","45-59",1.2,"$30,000-$49,999","unilateral",1,,,0,0,3,2,2,0,0,0,2,1,2,3,2,1,1,0,0,3,3,3,1,1,1,3,2,2,1,0,0,1,0,0,0,0,"45-59",,,2,-2,,,,,,,,,,,,,,,,,,0,-1
"not too well","not too well","quite well","quite well","not too well","quite well","quite well","not too well","not too well",1335076,"3","Agree","Independent","strongly approve","strongly disapprove","strongly disapprove","somewhat likely","very unlikely","very unlikely",1,"White, Non-Hispanic","Less than high school",,"Democratic Party","Moderate",,,,,,,,,,,,,,,,,"Strongly Agree","Strongly agree","60+",1.04,"$30,000-$49,999","unilateral",1,"ind",1,0,0,5,1,1,1,0,0,3,1,1,2,2,3,0,0,1,3,2,3,1,0,1,3,2,2,1,0,0,0,0,0,0,0,"60+",1,-1,0,0,,,,,,,,,,,,,,,,,,2,-2
"quite well","quite well","not too well","quite well","not too well","not too well","quite well","quite well","not too well",1335077,"5","Disagree","Democrat","strongly approve","neither approve nor disapprove","disapprove","very likely","very unlikely","very unlikely",1,"White, Non-Hispanic","Some college","Not Very Strong",,"Don’t know",,,,,,,,,,,,,,,,,"Disagree","Strongly agree","30-44",0.19,"$10,000-$29,999","bilateral",0,"dem",1,,0,5,3,2,1,0,0,4,1,1,3,3,2,1,1,0,3,2,2,1,0,0,3,3,2,1,1,0,0,0,0,0,0,"30-44",2,-2,,,,,,,,,,,,,,,,,,,,-1,-2
"not too well","not too well","quite well","quite well","quite well","extremely well","quite well","quite well","quite well",1335078,"4","Disagree","Democrat","neither approve nor disapprove","disapprove","approve","somewhat likely","very unlikely","very likely",1,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Liberal",,,,,,,,,,,,,,,,,"Agree","Strongly agree","60+",0.08,"$10,000-$29,999","unilateral",1,"dem",,0,1,3,2,4,1,0,1,3,1,4,2,2,3,0,0,1,3,3,4,1,1,1,3,3,3,1,1,1,0,0,0,0,1,"60+",3,-3,2,-2,,,,,,,,,,,,,,,,,,1,-2
,,,,,,,,,1335079,,,,,,,,,,2,"Hispanic","High school",,,,,,,,,,,,,,,,,,,,,,"30-44",,"Under $10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,"30-44",,,,,,,,,,,,,,,,,,,,,,,
"not well at all","not too well","not too well","not too well","not too well","not too well","not well at all","not too well","not too well",1335080,"1","Disagree","Republican","approve","strongly approve","neither approve nor disapprove","somewhat likely","very likely","somewhat likely",1,"Hispanic","Bachelor's degree or higher","Strong",,"Conservative",,,,,,,,,,,,,,,,,"Neither Agree nor Disagree","Disagree","30-44",0.19,"$10,000-$29,999","control",,"gop",1,1,,4,5,3,1,1,1,3,4,3,1,2,2,0,0,0,2,2,2,0,0,0,1,2,2,0,0,0,0,0,0,1,1,"30-44",-3,3,-2,2,,,,,,,,,,,,,,,,,,0,1
"not too well","not too well","quite well","not too well","not too well","quite well","not too well","not too well","quite well",1335081,"6","Agree","Democrat","neither approve nor disapprove","neither approve nor disapprove","neither approve nor disapprove","very unlikely","somewhat unlikely","somewhat likely",2,"Hispanic","Some college","Not Very Strong",,"Slightly conservative",,,,,,,,,,,,,,,,,"Neither Agree nor Disagree","Neither Agree nor Disagree","18-29",0.78,"$10,000-$29,999","bilateral",0,"dem",,,,3,3,3,0,0,1,1,2,3,2,2,3,0,0,1,2,2,3,0,0,1,2,2,3,0,0,1,1,0,0,1,0,"18-29",2,-2,-1,1,,,,,,,,,,,,,,,,,,0,0
"not too well","not too well","not too well","quite well","not too well","not too well","quite well","not too well","quite well",1335083,"4","Disagree","Independent","approve","strongly disapprove","disapprove","very likely","very unlikely","very unlikely",1,"White, Non-Hispanic","Some college",,"Democratic Party","Liberal",,,,,,,,,,,,,,,,,"Strongly Agree","Strongly agree","45-59",0.26,"$10,000-$29,999","unilateral",1,"ind",1,0,0,4,1,2,1,0,0,4,1,1,2,2,2,0,0,0,3,2,2,1,0,0,3,2,3,1,0,1,0,0,0,0,0,"45-59",1,-1,2,-2,,,,,,,,,,,,,,,,,,2,-2
"quite well","extremely well","not too well","quite well","extremely well","not too well","extremely well","extremely well","not well at all",1335084,"2","Strongly Disagree","Democrat","approve","strongly disapprove","disapprove","very likely","very unlikely","somewhat unlikely",2,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Liberal",,,,,,,,,,,,,,,,,"Strongly Disagree","Strongly agree","45-59",0.12,"$30,000-$49,999","control",,"dem",1,0,0,4,1,2,1,0,0,4,1,2,3,4,2,1,1,0,3,4,2,1,1,0,4,4,1,1,1,0,1,0,0,0,1,"45-59",3,-3,2,-2,,,,,,,,,,,,,,,,,,-2,-2
,,,,,,,,,1335085,,,"Democrat",,,,,,,2,"Black, Non-Hispanic","Bachelor's degree or higher","Strong",,"Don’t know",,,,,,,,,,,,,,,,,,,"18-29",,"$30,000-$49,999",,,"dem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,"18-29",3,-3,,,,,,,,,,,,,,,,,,,,,
"quite well","not too well","quite well","quite well","quite well","quite well","quite well","quite well","quite well",1335086,"2","Neither Agree nor Disagree","Independent","approve","strongly disapprove","neither approve nor disapprove","somewhat likely","very unlikely","somewhat unlikely",1,"White, Non-Hispanic","High school",,"Democratic Party","Very liberal",,,,,,,,,,,,,,,,,"Strongly Disagree","Strongly Disagree","18-29",6.01,"$80,000-$99,999","control",,"ind",1,0,,4,1,3,1,0,0,3,1,2,3,2,3,1,0,1,3,3,3,1,1,1,3,3,3,1,1,1,0,0,0,0,0,"18-29",1,-1,3,-3,,,,,,,,,,,,,,,,,,-2,2
"Refused","Refused","Refused","Refused","Refused","Refused","Refused","Refused","Refused",1335088,"6","Disagree","Republican","strongly disapprove","neither approve nor disapprove","neither approve nor disapprove","very unlikely","somewhat likely","somewhat likely",1,"White, Non-Hispanic","High school","Strong",,"Very conservative",,,,,,,,,,,,,,,,,"Agree","Neither Agree nor Disagree","18-29",6.96,"$30,000-$49,999","bilateral",0,"gop",0,,,1,3,3,0,1,1,1,3,3,,,,,,,,,,,,,,,,,,,0,0,0,0,0,"18-29",-3,3,-3,3,,,,,,,,,,,,,,,,,,1,0
"quite well","not too well","quite well","Refused","not too well","not too well","Refused","not too well","not too well",1335090,"1","Disagree","Democrat","approve","disapprove","neither approve nor disapprove","somewhat likely","somewhat unlikely","somewhat likely",1,"Black, Non-Hispanic","Bachelor's degree or higher","Strong",,"Liberal",,,,,,,,,,,,,,,,,,"Strongly agree","45-59",0.22,"$10,000-$29,999","control",,"dem",1,0,,4,2,3,1,0,1,3,2,3,3,2,3,1,0,1,,2,2,,0,0,,2,2,,0,0,0,0,1,0,1,"45-59",3,-3,2,-2,,,,,,,,,,,,,,,,,,,-2
"quite well","quite well","quite well","quite well","quite well","not too well","quite well","quite well","not too well",1335091,"1","Disagree","Independent","neither approve nor disapprove","approve","neither approve nor disapprove","somewhat likely","somewhat likely","somewhat unlikely",2,"White, Non-Hispanic","Some college",,"Republican Party","Slightly conservative",,,,,,,,,,,,,,,,,"Neither Agree nor Disagree","Strongly agree","30-44",0.34,"$10,000-$29,999","control",,"ind",,1,,3,4,3,1,1,0,3,3,2,3,3,3,1,1,1,3,3,2,1,1,0,3,3,2,1,1,0,1,0,0,0,0,"30-44",-1,1,-1,1,,,,,,,,,,,,,,,,,,0,-2
"not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","extremely well","extremely well","extremely well",1335092,"1","Neither Agree nor Disagree","Democrat","strongly disapprove","strongly disapprove","strongly disapprove","very unlikely","very unlikely","very unlikely",1,"Black, Non-Hispanic","Some college","Strong",,"Moderate",,,,,,,,,,,,,,,,,"Strongly Agree","Strongly agree","18-29",1.59,"Under $10,000","control",,"dem",0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,4,4,4,1,1,1,0,0,1,0,0,"18-29",3,-3,0,0,,,,,,,,,,,,,,,,,,2,-2
,,,,,,,,,1335093,,,,,,,,,,2,"Black, Non-Hispanic","High school",,,,,,,,,,,,,,,,,,,,,,"18-29",,"$10,000-$29,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,"18-29",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1335094,,,"Democrat",,,,,,,1,"Other, Non-Hispanic","Bachelor's degree or higher","Strong",,"Don’t know",,,,,,,,,,,,,,,,,"Neither Agree nor Disagree",,"18-29",,"Under $10,000",,,"dem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,"18-29",3,-3,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,1335095,,,,,,,,,,2,"White, Non-Hispanic","High school",,,,,,,,,,,,,,,,,,,,,,"45-59",,"$10,000-$29,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,"45-59",,,,,,,,,,,,,,,,,,,,,,,
"quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well",1335096,"6","Neither Agree nor Disagree","Democrat","approve","neither approve nor disapprove","approve","somewhat likely","somewhat likely","somewhat likely",2,"Black, Non-Hispanic","Some college","Strong",,"Moderate",,,,,,,,,,,,,,,,,"Neither Agree nor Disagree","Agree","30-44",2,"Under $10,000","bilateral",0,"dem",1,,1,4,3,4,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,1,1,1,3,3,3,1,1,1,1,0,1,0,0,"30-44",3,-3,0,0,,,,,,,,,,,,,,,,,,0,-1
"not well at all","not too well","not too well","quite well","not too well","not too well","not too well","not too well","not too well",1336302,"4","Strongly Disagree","Democrat","disapprove","disapprove","neither approve nor disapprove","very unlikely","somewhat unlikely","somewhat unlikely",1,"Hispanic","Some college","Not Very Strong",,"Liberal",,,,,,,,,,,,,,,,,,"Agree","30-44",0.82,"$30,000-$49,999","unilateral",1,"dem",0,0,,2,2,3,0,0,0,1,2,2,1,2,2,0,0,0,3,2,2,1,0,0,2,2,2,0,0,0,0,0,0,1,0,"30-44",2,-2,2,-2,,,,,,,,,,,,,,,,,,,-1
,,,,,,,,,1336303,,,,,,,,,,1,"Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"60+",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,"60+",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1336304,,,,,,,,,,1,"Other, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,"Neither Agree nor Disagree",,"60+",,"$100,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,"60+",,,,,,,,,,,,,,,,,,,,,,0,
"not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not too well","not well at all","not well at all",1336306,"4","Strongly Disagree","Republican","disapprove","disapprove","disapprove","somewhat unlikely","somewhat unlikely","somewhat unlikely",2,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Conservative",,,,,,,,,,,,,,,,,"Strongly Agree","Neither Agree nor Disagree","60+",1.14,"$100,000 or more","unilateral",1,"gop",0,0,0,2,2,2,0,0,0,2,2,2,1,1,1,0,0,0,1,1,1,0,0,0,2,1,1,0,0,0,1,0,0,0,1,"60+",-3,3,-2,2,,,,,,,,,,,,,,,,,,2,0
"not too well","not too well","not too well","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all",1336308,"6","Strongly Disagree","Independent","approve","neither approve nor disapprove","approve","somewhat likely","somewhat likely","somewhat likely",1,"White, Non-Hispanic","Some college",,"Refused","Slightly conservative",,,,,,,,,,,,,,,,,"Strongly Agree","Disagree","60+",1,"$100,000 or more","bilateral",0,"ind",1,,1,4,3,4,1,1,1,3,3,3,2,2,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"60+",0,0,-1,1,,,,,,,,,,,,,,,,,,2,1
,,,,,,,,,1336309,,,"Independent",,,,,,,2,"White, Non-Hispanic","High school",,"Republican Party","Conservative",,,,,,,,,,,,,,,,,,,"60+",,"$100,000 or more",,,"ind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,"60+",-1,1,-2,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1336310,,,,,,,,,,2,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,"Agree",,"60+",,"$80,000-$99,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,"60+",,,,,,,,,,,,,,,,,,,,,,1,
"not well at all","not too well","quite well","not well at all","not too well","quite well","not well at all","not too well","quite well",1336311,"1","Strongly Disagree","Republican","strongly disapprove","approve","approve","very unlikely","somewhat likely","somewhat likely",1,"White, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Conservative",,,,,,,,,,,,,,,,,"Strongly Agree","Disagree","60+",0.37,"$100,000 or more","control",,"gop",0,1,1,1,4,4,0,1,1,1,3,3,1,2,3,0,0,1,1,2,3,0,0,1,1,2,3,0,0,1,0,0,0,0,1,"60+",-2,2,-2,2,,,,,,,,,,,,,,,,,,2,1
"not well at all","not well at all","not well at all","not too well","not too well","not too well","quite well","quite well","quite well",1336312,"3","Strongly Disagree",,"disapprove","disapprove","disapprove","somewhat unlikely","somewhat unlikely","somewhat unlikely",1,"White, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,"Neither Agree nor Disagree","Neither Agree nor Disagree","45-59",0.22,"$30,000-$49,999","unilateral",1,,0,0,0,2,2,2,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,0,0,0,3,3,3,1,1,1,0,0,0,0,0,"45-59",,,,,,,,,,,,,,,,,,,,,,0,0
"not well at all","quite well","quite well","not too well","quite well","extremely well","not too well","quite well","quite well",1336313,"2","Disagree","Republican","neither approve nor disapprove","disapprove","approve","somewhat unlikely","somewhat likely","somewhat likely",1,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Conservative",,,,,,,,,,,,,,,,,"Strongly Agree","Disagree","18-29",3.56,"$100,000 or more","control",,"gop",,0,1,3,2,4,0,1,1,2,3,3,1,3,3,0,1,1,2,3,4,0,1,1,2,3,3,0,1,1,0,0,0,0,1,"18-29",-3,3,-2,2,,,,,,,,,,,,,,,,,,2,1
"Refused","not too well","quite well","Refused","not too well","quite well","Refused","not too well","quite well",1336314,"1","Disagree",,"neither approve nor disapprove","neither approve nor disapprove","approve","somewhat unlikely","somewhat likely","somewhat likely",2,"White, Non-Hispanic","High school",,,,,,,,,,,,,,,,,,,,"Strongly Agree","Agree","45-59",1.38,"$50,000-$79,999","control",,,,,1,3,3,4,0,1,1,2,3,3,,2,3,,0,1,,2,3,,0,1,,2,3,,0,1,1,0,0,0,0,"45-59",,,,,,,,,,,,,,,,,,,,,,2,-1
"Refused","Refused","Refused","Refused","Refused","quite well","Refused","Refused","Refused",1336316,"2","Strongly Disagree",,"neither approve nor disapprove","neither approve nor disapprove","approve","somewhat likely","somewhat likely","very likely",2,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,"Agree","Strongly agree","60+",0.25,"$50,000-$79,999","control",,,,,1,3,3,4,1,1,1,3,3,4,,,,,,,,,3,,,1,,,,,,,1,0,0,0,1,"60+",,,,,,,,,,,,,,,,,,,,,,1,-2
"quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well",1336317,"3","Disagree","Republican","approve","neither approve nor disapprove","disapprove","somewhat likely","somewhat likely","somewhat unlikely",2,"White, Non-Hispanic","High school","Not Very Strong",,"Moderate",,,,,,,,,,,,,,,,,"Disagree","Agree","18-29",5.64,"$50,000-$79,999","unilateral",1,"gop",1,,0,4,3,2,1,1,0,3,3,2,3,3,3,1,1,1,3,3,3,1,1,1,3,3,3,1,1,1,1,0,0,0,0,"18-29",-2,2,0,0,,,,,,,,,,,,,,,,,,-1,-1
"extremely well","quite well","extremely well","quite well","Refused","quite well","quite well","quite well","quite well",1336318,"6","Disagree","Republican","approve","disapprove","approve","somewhat unlikely","somewhat unlikely","somewhat likely",1,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Conservative",,,,,,,,,,,,,,,,,"Disagree","Agree","18-29",1.14,"$50,000-$79,999","bilateral",0,"gop",1,0,1,4,2,4,0,0,1,2,2,3,4,3,4,1,1,1,3,,3,1,,1,3,3,3,1,1,1,0,0,0,0,1,"18-29",-3,3,-2,2,,,,,,,,,,,,,,,,,,-1,-1
,,,,,,,,,1336319,,,"Republican",,,,,,,2,"White, Non-Hispanic","Some college","Strong",,"Very conservative",,,,,,,,,,,,,,,,,,,"60+",,"$50,000-$79,999",,,"gop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,"60+",-3,3,-3,3,,,,,,,,,,,,,,,,,,,
"quite well","not too well","not too well","not too well","not too well","not too well","not too well","not too well","not too well",1336321,"1","Disagree","Democrat","strongly approve","strongly disapprove","approve","somewhat unlikely","very unlikely","somewhat unlikely",2,"White, Non-Hispanic","High school","Not Very Strong",,"Moderate",,,,,,,,,,,,,,,,,"Agree","Strongly agree","60+",1.72,"$10,000-$29,999","control",,"dem",1,0,1,5,1,4,0,0,0,2,1,2,3,2,2,1,0,0,2,2,2,0,0,0,2,2,2,0,0,0,1,0,0,0,0,"60+",2,-2,0,0,,,,,,,,,,,,,,,,,,1,-2
"not well at all","not too well","not too well","not too well","not too well","quite well","not too well","not too well","quite well",1336322,"6","Disagree",,"neither approve nor disapprove","neither approve nor disapprove","approve","somewhat unlikely","somewhat unlikely","somewhat likely",1,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,"Neither Agree nor Disagree","Agree","60+",0.53,"$100,000 or more","bilateral",0,,,,1,3,3,4,0,0,1,2,2,3,1,2,2,0,0,0,2,2,3,0,0,1,2,2,3,0,0,1,0,0,0,0,1,"60+",,,,,,,,,,,,,,,,,,,,,,0,-1
"extremely well","extremely well","quite well","quite well","quite well","quite well","quite well","not too well","not too well",1336324,"2","Neither Agree nor Disagree","Republican","approve","approve","neither approve nor disapprove","somewhat likely","somewhat likely","somewhat likely",1,"Other, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Slightly conservative",,,,,,,,,,,,,,,,,"Neither Agree nor Disagree","Agree","45-59",1.05,"$100,000 or more","control",,"gop",1,1,,4,4,3,1,1,1,3,3,3,4,4,3,1,1,1,3,3,3,1,1,1,3,2,2,1,0,0,0,1,0,0,1,"45-59",-2,2,-1,1,,,,,,,,,,,,,,,,,,0,-1
,,,,,,,,,1336325,,,,,,,,,,1,"White, Non-Hispanic","High school",,,,,,,,,,,,,,,,,,,,,,"18-29",,"$10,000-$29,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,"18-29",,,,,,,,,,,,,,,,,,,,,,,
"not too well","not too well","not too well","not too well","quite well","quite well","quite well","not too well","quite well",1336326,"3","Neither Agree nor Disagree",,"disapprove","disapprove","disapprove","very unlikely","very unlikely","somewhat unlikely",2,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,"Neither Agree nor Disagree","Strongly agree","60+",0.16,"$30,000-$49,999","unilateral",1,,0,0,0,2,2,2,0,0,0,1,1,2,2,2,2,0,0,0,2,3,3,0,1,1,3,2,3,1,0,1,1,0,0,0,1,"60+",,,,,,,,,,,,,,,,,,,,,,0,-2
,,,,,,,,,1336327,,,,,,,,,,2,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,,,"60+",,"$80,000-$99,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,"60+",,,,,,,,,,,,,,,,,,,,,,,
"quite well","not too well","quite well","quite well","quite well","quite well","not too well","not too well","not too well",1336328,"5","Disagree","Republican","neither approve nor disapprove","disapprove","approve","somewhat unlikely","somewhat unlikely","somewhat likely",2,"White, Non-Hispanic","Some college","Not Very Strong",,"Moderate",,,,,,,,,,,,,,,,,"Agree","Agree","18-29",1.31,"$10,000-$29,999","bilateral",0,"gop",,0,1,3,2,4,0,0,1,2,2,3,3,2,3,1,0,1,3,3,3,1,1,1,2,2,2,0,0,0,1,0,0,0,0,"18-29",-2,2,0,0,,,,,,,,,,,,,,,,,,1,-1
"not too well","not too well","quite well","quite well","quite well","quite well","quite well","quite well","quite well",1336329,"6","Neither Agree nor Disagree","Democrat","neither approve nor disapprove","disapprove","disapprove","somewhat likely","somewhat unlikely","somewhat unlikely",2,"White, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Slightly liberal",,,,,,,,,,,,,,,,,"Neither Agree nor Disagree","Agree","18-29",2.2,"$50,000-$79,999","bilateral",0,"dem",,0,0,3,2,2,1,0,0,3,2,2,2,2,3,0,0,1,3,3,3,1,1,1,3,3,3,1,1,1,1,0,0,0,1,"18-29",2,-2,1,-1,,,,,,,,,,,,,,,,,,0,-1
"quite well","not too well","not too well","quite well","quite well","not too well","quite well","quite well","not too well",1336574,"1","Disagree","Democrat","neither approve nor disapprove","strongly disapprove","disapprove","somewhat likely","very unlikely","somewhat unlikely",2,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Very liberal",,,,,,,,,,,,,,,,,"Strongly Disagree","Strongly agree","18-29",0.46,"$10,000-$29,999","control",,"dem",,0,0,3,1,2,1,0,0,3,1,2,3,2,2,1,0,0,3,3,2,1,1,0,3,3,2,1,1,0,1,0,0,0,1,"18-29",3,-3,3,-3,,,,,,,,,,,,,,,,,,-2,-2
"quite well","not too well","quite well","quite well","quite well","quite well","quite well","quite well","quite well",1336575,"4","Strongly Disagree","Democrat","approve","disapprove","approve","somewhat likely","somewhat unlikely","somewhat likely",1,"Other, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Moderate",,,,,,,,,,,,,,,,,"Agree","Disagree","60+",0.08,"$30,000-$49,999","unilateral",1,"dem",1,0,1,4,2,4,1,0,1,3,2,3,3,2,3,1,0,1,3,3,3,1,1,1,3,3,3,1,1,1,0,1,0,0,1,"60+",2,-2,0,0,,,,,,,,,,,,,,,,,,1,1
